

24.5 sq mi 	2,038/km2
5,280/sq mi 	49°28′N 11°0′E
60 	Ulm 	 Baden-Württemberg 	126,949 	122,636 	+3.52% 	Increase 2 	118.7 km2
45.8 sq mi 	1,070/km2
2,800/sq mi 	48°24′N 9°59′E
61 	Würzburg 	 Bavaria 	126,933 	124,873 	+1.65% 	Decrease 3 	87.6 km2
33.8 sq mi 	1,449/km2
3,750/sq mi 	49°47′N 9°56′E
62 	Heilbronn 	 Baden-Württemberg 	125,613 	122,567 	+2.49% 	Increase 1 	99.9 km2
38.6 sq mi 	1,258/km2
3,260/sq mi 	49°9′N 9°13′E
63 	Pforzheim 	 Baden-Württemberg 	125,529 	122,247 	+2.68% 	Increase 1 	98.0 km2
37.8 sq mi 	1,281/km2
3,320/sq mi 	48°54′N 8°43′E
64 	Wolfsburg 	 Lower Saxony 	123,949 	124,045 	−0.08% 	Decrease 4 	204.0 km2
78.8 sq mi 	608/km2
1,570/sq mi 	52°25′23″N 10°47′14″E
65 	 Bottrop 	 North Rhine-Westphalia 	117,311 	117,143 	+0.14% 	Increase 1 	100.7 km2
38.9 sq mi 	1,165/km2
3,020/sq mi 	51°31′29″N 6°55′22″E
66 	Göttingen 	 Lower Saxony 	116,557 	118,914 	−1.98% 	Decrease 1 	116.9 km2
45.1 sq mi 	997/km2
2,580/sq mi 	51°32′N 9°56′E
67 	Reutlingen 	 Baden-Württemberg 	116,456 	114,310 	+1.88% 	Increase 2 	87.1 km2
33.6 sq mi 	1,338/km2
3,470/sq mi 	48°29′N 9°13′E
68 	 Koblenz 	 Rhineland-Palatinate 	113,638 	112,586 	+0.93% 	Increase 3 	105.0 km2
40.5 sq mi 	1,082/km2
2,800/sq mi 	50°21′35″N 7°35′52″E
69 	Erlangen 	 Bavaria 	113,292 	108,336 	+4.57% 	Increase 6 	77.0 km2
29.7 sq mi 	1,472/km2
3,810/sq mi 	49°35′N 11°1′E
70 	Bremerhaven 	 Bremen 	113,173 	114,025 	−0.75% 	Steady 0 	93.8 km2
36.2 sq mi 	1,206/km2
3,120/sq mi 	53°33′N 8°35′E
71 	Remscheid 	 North Rhine-Westphalia 	111,770 	109,499 	+2.07% 	Increase 3 	74.6 km2
28.8 sq mi 	1,498/km2
3,880/sq mi 	51°11′N 7°12′E
72 	Bergisch Gladbach 	 North Rhine-Westphalia 	111,645 	111,366 	+0.25% 	Steady 0 	83.1 km2
32.1 sq mi 	1,343/km2
3,480/sq mi 	51°0′N 7°7′E
73 	Recklinghausen 	 North Rhine-Westphalia 	110,714 	114,330 	−3.16% 	Decrease 5 	66.4 km2
25.6 sq mi 	1,667/km2
4,320/sq mi 	51°35′6″N 7°9′43″E
74 	Trier 	 Rhineland-Palatinate 	110,570 	114,914 	−3.78% 	Decrease 7 	117.1 km2
45.2 sq mi 	945/km2
2,450/sq mi 	49°45′N 6°38′E
75 	Jena 	 Thuringia 	110,502 	109,527 	+0.89% 	Decrease 2 	114.8 km2
44.3 sq mi 	963/km2
2,490/sq mi 	50°55′38″N 11°35′10″E
76 	Moers 	 North Rhine-Westphalia 	103,725 	104,529 	−0.77% 	Steady 0 	67.7 km2
26.1 sq mi 	1,533/km2
3,970/sq mi 	51°27′33″N 6°37′11″E
77 	Salzgitter 	 Lower Saxony 	103,694 	101,079 	+2.59% 	Increase 2 	223.9 km2
86.4 sq mi 	463/km2
1,200/sq mi 	52°9′N 10°20′E
78 	Siegen 	 North Rhine-Westphalia 	101,516 	102,355 	−0.82% 	Decrease 1 	114.7 km2
44.3 sq mi 	885/km2
2,290/sq mi 	50°53′N 8°1′E
79 	Gütersloh 	 North Rhine-Westphalia 	101,158 	97,586 	+3.66% 	Increase 3 	112.0 km2
43.2 sq mi 	896/km2
2,320/sq mi 	51°54′N 8°23′E
80 	Hildesheim 	 Lower Saxony 	100,319 	101,667 	−1.33% 	Decrease 2 	92.2 km2
35.6 sq mi 	1,088/km2
2,820/sq mi 	52°9′N 9°57′E
